domain,condition,model_seed,arm,evaluation_version,horizon,first_failures,failure_probability,survival_probability,failure_upper_bound,survival_lower_bound,family_size
toy,c31_moving_plane,,NATIVE_FP32,v1-unchanged-finite-nonstochastic,1024,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,NATIVE_FP32,v1-unchanged-finite-nonstochastic,2048,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,NATIVE_FP64,v1-unchanged-finite-nonstochastic,32,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,NATIVE_FP64,v1-unchanged-finite-nonstochastic,64,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,NATIVE_FP64,v1-unchanged-finite-nonstochastic,128,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,NATIVE_FP64,v1-unchanged-finite-nonstochastic,256,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,NATIVE_FP64,v1-unchanged-finite-nonstochastic,512,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,NATIVE_FP64,v1-unchanged-finite-nonstochastic,1024,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,NATIVE_FP64,v1-unchanged-finite-nonstochastic,2048,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,c31_moving_plane,,UNIFORM_2,v1b-row-local-numerical-failure,32,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_2,v1b-row-local-numerical-failure,64,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_2,v1b-row-local-numerical-failure,128,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_2,v1b-row-local-numerical-failure,256,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_2,v1b-row-local-numerical-failure,512,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_2,v1b-row-local-numerical-failure,1024,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_2,v1b-row-local-numerical-failure,2048,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_3,v1-unchanged-finite-nonstochastic,32,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_3,v1-unchanged-finite-nonstochastic,64,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_3,v1-unchanged-finite-nonstochastic,128,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_3,v1-unchanged-finite-nonstochastic,256,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_3,v1-unchanged-finite-nonstochastic,512,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_3,v1-unchanged-finite-nonstochastic,1024,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_3,v1-unchanged-finite-nonstochastic,2048,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_4,v1-unchanged-finite-nonstochastic,32,476,0.9296875,0.0703125,0.9655883375567224,0.034411662443277646,875
toy,c31_moving_plane,,UNIFORM_4,v1-unchanged-finite-nonstochastic,64,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_4,v1-unchanged-finite-nonstochastic,128,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_4,v1-unchanged-finite-nonstochastic,256,512,1.0,0.0,1.0,0.0,875
toy,c31_moving_plane,,UNIFORM_4,v1-unchanged-finite-nonstochastic,512,512,1.0,0.0,1.0,0.0,875
