phase,model_seed,arm,n_sequences,source_family_size,joint_family_size,source_failure_upper_bound,source_json_sha256,horizon,first_failures,failure_probability,survival_probability,failure_upper_bound,survival_lower_bound
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8,512,546,630,0.017996927961500465,2339246dc9135bec8b08e7fbcde7af7065f3c4784576e58662137aab13bec5cc,32,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8,512,546,630,0.017996927961500465,2339246dc9135bec8b08e7fbcde7af7065f3c4784576e58662137aab13bec5cc,64,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8,512,546,630,0.06504679039111078,2339246dc9135bec8b08e7fbcde7af7065f3c4784576e58662137aab13bec5cc,128,14,0.02734375,0.97265625,0.06548325633657673,0.9345167436634233
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8,512,546,630,0.5657320134370891,2339246dc9135bec8b08e7fbcde7af7065f3c4784576e58662137aab13bec5cc,256,247,0.482421875,0.517578125,0.5665119459907014,0.4334880540092986
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8,512,546,630,0.9876903146484421,2339246dc9135bec8b08e7fbcde7af7065f3c4784576e58662137aab13bec5cc,512,494,0.96484375,0.03515625,0.9878323455045036,0.012167654495496394
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8,512,546,630,1.0,2339246dc9135bec8b08e7fbcde7af7065f3c4784576e58662137aab13bec5cc,1024,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8,512,546,630,1.0,2339246dc9135bec8b08e7fbcde7af7065f3c4784576e58662137aab13bec5cc,2048,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8_TOP1,512,630,630,0.018271353414420138,a8293492b2feae01420fa2a7c2158fae74292a166e9cfcd38c8aa2354e7fdda4,32,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8_TOP1,512,630,630,0.018271353414420138,a8293492b2feae01420fa2a7c2158fae74292a166e9cfcd38c8aa2354e7fdda4,64,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8_TOP1,512,630,630,0.07918435614280188,a8293492b2feae01420fa2a7c2158fae74292a166e9cfcd38c8aa2354e7fdda4,128,19,0.037109375,0.962890625,0.07918435614280188,0.9208156438571982
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8_TOP1,512,630,630,0.5742082881052284,a8293492b2feae01420fa2a7c2158fae74292a166e9cfcd38c8aa2354e7fdda4,256,251,0.490234375,0.509765625,0.5742082881052284,0.4257917118947716
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8_TOP1,512,630,630,0.9900161391159136,a8293492b2feae01420fa2a7c2158fae74292a166e9cfcd38c8aa2354e7fdda4,512,496,0.96875,0.03125,0.9900161391159136,0.009983860884086426
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8_TOP1,512,630,630,1.0,a8293492b2feae01420fa2a7c2158fae74292a166e9cfcd38c8aa2354e7fdda4,1024,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8_TOP1,512,630,630,1.0,a8293492b2feae01420fa2a7c2158fae74292a166e9cfcd38c8aa2354e7fdda4,2048,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8_TOP4,512,630,630,0.018271353414420138,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,32,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8_TOP4,512,630,630,0.018271353414420138,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,64,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8_TOP4,512,630,630,0.07104293847677659,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,128,16,0.03125,0.96875,0.07104293847677659,0.9289570615232234
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8_TOP4,512,630,630,0.5452431516415698,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,256,236,0.4609375,0.5390625,0.5452431516415698,0.4547568483584302
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8_TOP4,512,630,630,0.9831921775005567,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,512,490,0.95703125,0.04296875,0.9831921775005567,0.016807822499443348
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8_TOP4,512,630,630,1.0,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,1024,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,MIXED_6_8_TOP4,512,630,630,1.0,5634fdc7e3a49c16c560b8bfaef3210a18bf6e51331f2b98444cb8e095e8e208,2048,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,NATIVE_FP32,512,546,630,0.017996927961500465,e0bca20dcc18f266c858757eb1fc0eb221e6127ed04b34dd4e390f8822adcb93,32,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,NATIVE_FP32,512,546,630,0.017996927961500465,e0bca20dcc18f266c858757eb1fc0eb221e6127ed04b34dd4e390f8822adcb93,64,0,0.0,1.0,0.018271353414420138,0.9817286465855799
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,NATIVE_FP32,512,546,630,0.0760303754203286,e0bca20dcc18f266c858757eb1fc0eb221e6127ed04b34dd4e390f8822adcb93,128,18,0.03515625,0.96484375,0.07649419646723002,0.92350580353277
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,NATIVE_FP32,512,546,630,0.5386292095308438,e0bca20dcc18f266c858757eb1fc0eb221e6127ed04b34dd4e390f8822adcb93,256,233,0.455078125,0.544921875,0.5394160356499755,0.46058396435002447
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,NATIVE_FP32,512,546,630,0.981805902197242,e0bca20dcc18f266c858757eb1fc0eb221e6127ed04b34dd4e390f8822adcb93,512,489,0.955078125,0.044921875,0.9819839056061589,0.01801609439384111
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,NATIVE_FP32,512,546,630,1.0,e0bca20dcc18f266c858757eb1fc0eb221e6127ed04b34dd4e390f8822adcb93,1024,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,NATIVE_FP32,512,546,630,1.0,e0bca20dcc18f266c858757eb1fc0eb221e6127ed04b34dd4e390f8822adcb93,2048,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,STOCHASTIC_4,512,546,630,0.04750190330918149,4fb0dd3414cc4affb2020cd482e337edd2ed7dc3698605e76c2e7828b2066ffd,32,8,0.015625,0.984375,0.04788831235423295,0.952111687645767
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,STOCHASTIC_4,512,546,630,0.4236482409522582,4fb0dd3414cc4affb2020cd482e337edd2ed7dc3698605e76c2e7828b2066ffd,64,175,0.341796875,0.658203125,0.4244384850240438,0.5755615149759562
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,STOCHASTIC_4,512,546,630,0.9577273344482086,4fb0dd3414cc4affb2020cd482e337edd2ed7dc3698605e76c2e7828b2066ffd,128,471,0.919921875,0.080078125,0.9580114514591437,0.04198854854085632
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,STOCHASTIC_4,512,546,630,1.0,4fb0dd3414cc4affb2020cd482e337edd2ed7dc3698605e76c2e7828b2066ffd,256,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,STOCHASTIC_4,512,546,630,1.0,4fb0dd3414cc4affb2020cd482e337edd2ed7dc3698605e76c2e7828b2066ffd,512,512,1.0,0.0,1.0,0.0
POST_HOC_BUDGET_AUDIT_SAME_TEST,0,STOCHASTIC_4,512,546,630,1.0,4fb0dd3414cc4affb2020cd482e337edd2ed7dc3698605e76c2e7828b2066ffd,1024,512,1.0,0.0,1.0,0.0
